,C,epsilon,kernel,degree,coef,accuracy
142,0.01,0.05,sigmoid,0,2,0.6632653061224489
143,0.01,0.05,sigmoid,0,3,0.6632653061224489
144,0.01,0.05,sigmoid,1,0,0.6632653061224489
145,0.01,0.05,sigmoid,1,1,0.6632653061224489
146,0.01,0.05,sigmoid,1,2,0.6632653061224489
147,0.01,0.05,sigmoid,1,3,0.6632653061224489
148,0.01,0.05,sigmoid,2,0,0.6632653061224489
149,0.01,0.05,sigmoid,2,1,0.6632653061224489
150,0.01,0.05,sigmoid,2,2,0.6632653061224489
151,0.01,0.05,sigmoid,2,3,0.6632653061224489
152,0.01,0.05,sigmoid,3,0,0.6632653061224489
153,0.01,0.05,sigmoid,3,1,0.6632653061224489
154,0.01,0.05,sigmoid,3,2,0.6632653061224489
155,0.01,0.05,sigmoid,3,3,0.6632653061224489
156,0.01,0.05,sigmoid,4,0,0.6632653061224489
157,0.01,0.05,sigmoid,4,1,0.6632653061224489
158,0.01,0.05,sigmoid,4,2,0.6632653061224489
159,0.01,0.05,sigmoid,4,3,0.6632653061224489
160,0.01,0.1,linear,0,0,0.7244897959183674
161,0.01,0.1,linear,0,1,0.7244897959183674
162,0.01,0.1,linear,0,2,0.7244897959183674
163,0.01,0.1,linear,0,3,0.7244897959183674
164,0.01,0.1,linear,1,0,0.7244897959183674
165,0.01,0.1,linear,1,1,0.7244897959183674
166,0.01,0.1,linear,1,2,0.7244897959183674
167,0.01,0.1,linear,1,3,0.7244897959183674
168,0.01,0.1,linear,2,0,0.7244897959183674
169,0.01,0.1,linear,2,1,0.7244897959183674
170,0.01,0.1,linear,2,2,0.7244897959183674
171,0.01,0.1,linear,2,3,0.7244897959183674
172,0.01,0.1,linear,3,0,0.7244897959183674
173,0.01,0.1,linear,3,1,0.7244897959183674
174,0.01,0.1,linear,3,2,0.7244897959183674
175,0.01,0.1,linear,3,3,0.7244897959183674
176,0.01,0.1,linear,4,0,0.7244897959183674
177,0.01,0.1,linear,4,1,0.7244897959183674
178,0.01,0.1,linear,4,2,0.7244897959183674
179,0.01,0.1,linear,4,3,0.7244897959183674
180,0.01,0.1,poly,0,0,0.6632653061224489
181,0.01,0.1,poly,0,1,0.6632653061224489
182,0.01,0.1,poly,0,2,0.6632653061224489
183,0.01,0.1,poly,0,3,0.6632653061224489
184,0.01,0.1,poly,1,0,0.6530612244897959
185,0.01,0.1,poly,1,1,0.6530612244897959
186,0.01,0.1,poly,1,2,0.6530612244897959
187,0.01,0.1,poly,1,3,0.6530612244897959
188,0.01,0.1,poly,2,0,0.6938775510204082
189,0.01,0.1,poly,2,1,0.7244897959183674
190,0.01,0.1,poly,2,2,0.7244897959183674
191,0.01,0.1,poly,2,3,0.7244897959183674
192,0.01,0.1,poly,3,0,0.7244897959183674
193,0.01,0.1,poly,3,1,0.7244897959183674
194,0.01,0.1,poly,3,2,0.7448979591836735
195,0.01,0.1,poly,3,3,0.7653061224489796
196,0.01,0.1,poly,4,0,0.7142857142857143
197,0.01,0.1,poly,4,1,0.7346938775510204
198,0.01,0.1,poly,4,2,0.7755102040816326
199,0.01,0.1,poly,4,3,0.7755102040816326
200,0.01,0.1,rbf,0,0,0.6632653061224489
201,0.01,0.1,rbf,0,1,0.6632653061224489
202,0.01,0.1,rbf,0,2,0.6632653061224489
203,0.01,0.1,rbf,0,3,0.6632653061224489
204,0.01,0.1,rbf,1,0,0.6632653061224489
205,0.01,0.1,rbf,1,1,0.6632653061224489
206,0.01,0.1,rbf,1,2,0.6632653061224489
207,0.01,0.1,rbf,1,3,0.6632653061224489
208,0.01,0.1,rbf,2,0,0.6632653061224489
209,0.01,0.1,rbf,2,1,0.6632653061224489
210,0.01,0.1,rbf,2,2,0.6632653061224489
211,0.01,0.1,rbf,2,3,0.6632653061224489
212,0.01,0.1,rbf,3,0,0.6632653061224489
213,0.01,0.1,rbf,3,1,0.6632653061224489
214,0.01,0.1,rbf,3,2,0.6632653061224489
215,0.01,0.1,rbf,3,3,0.6632653061224489
216,0.01,0.1,rbf,4,0,0.6632653061224489
217,0.01,0.1,rbf,4,1,0.6632653061224489
218,0.01,0.1,rbf,4,2,0.6632653061224489
219,0.01,0.1,rbf,4,3,0.6632653061224489
220,0.01,0.1,sigmoid,0,0,0.6632653061224489
221,0.01,0.1,sigmoid,0,1,0.6632653061224489
222,0.01,0.1,sigmoid,0,2,0.6632653061224489
223,0.01,0.1,sigmoid,0,3,0.6632653061224489
224,0.01,0.1,sigmoid,1,0,0.6632653061224489
225,0.01,0.1,sigmoid,1,1,0.6632653061224489
226,0.01,0.1,sigmoid,1,2,0.6632653061224489
227,0.01,0.1,sigmoid,1,3,0.6632653061224489
228,0.01,0.1,sigmoid,2,0,0.6632653061224489
229,0.01,0.1,sigmoid,2,1,0.6632653061224489
230,0.01,0.1,sigmoid,2,2,0.6632653061224489
231,0.01,0.1,sigmoid,2,3,0.6632653061224489
232,0.01,0.1,sigmoid,3,0,0.6632653061224489
233,0.01,0.1,sigmoid,3,1,0.6632653061224489
234,0.01,0.1,sigmoid,3,2,0.6632653061224489
235,0.01,0.1,sigmoid,3,3,0.6632653061224489
236,0.01,0.1,sigmoid,4,0,0.6632653061224489
237,0.01,0.1,sigmoid,4,1,0.6632653061224489
238,0.01,0.1,sigmoid,4,2,0.6632653061224489
239,0.01,0.1,sigmoid,4,3,0.6632653061224489
240,0.01,0.5,linear,0,0,0.7244897959183674
241,0.01,0.5,linear,0,1,0.7244897959183674
242,0.01,0.5,linear,0,2,0.7244897959183674
243,0.01,0.5,linear,0,3,0.7244897959183674
244,0.01,0.5,linear,1,0,0.7244897959183674
245,0.01,0.5,linear,1,1,0.7244897959183674
246,0.01,0.5,linear,1,2,0.7244897959183674
247,0.01,0.5,linear,1,3,0.7244897959183674
248,0.01,0.5,linear,2,0,0.7244897959183674
249,0.01,0.5,linear,2,1,0.7244897959183674
250,0.01,0.5,linear,2,2,0.7244897959183674
251,0.01,0.5,linear,2,3,0.7244897959183674
252,0.01,0.5,linear,3,0,0.7244897959183674
253,0.01,0.5,linear,3,1,0.7244897959183674
254,0.01,0.5,linear,3,2,0.7244897959183674
255,0.01,0.5,linear,3,3,0.7244897959183674
256,0.01,0.5,linear,4,0,0.7244897959183674
257,0.01,0.5,linear,4,1,0.7244897959183674
258,0.01,0.5,linear,4,2,0.7244897959183674
259,0.01,0.5,linear,4,3,0.7244897959183674
260,0.01,0.5,poly,0,0,0.6632653061224489
261,0.01,0.5,poly,0,1,0.6632653061224489
262,0.01,0.5,poly,0,2,0.6632653061224489
263,0.01,0.5,poly,0,3,0.6632653061224489
264,0.01,0.5,poly,1,0,0.7040816326530612
265,0.01,0.5,poly,1,1,0.7040816326530612
266,0.01,0.5,poly,1,2,0.7040816326530612
267,0.01,0.5,poly,1,3,0.7040816326530612
268,0.01,0.5,poly,2,0,0.7346938775510204
269,0.01,0.5,poly,2,1,0.7244897959183674
270,0.01,0.5,poly,2,2,0.7244897959183674
271,0.01,0.5,poly,2,3,0.7244897959183674
272,0.01,0.5,poly,3,0,0.7346938775510204
273,0.01,0.5,poly,3,1,0.7244897959183674
274,0.01,0.5,poly,3,2,0.7448979591836735
275,0.01,0.5,poly,3,3,0.7551020408163265
276,0.01,0.5,poly,4,0,0.7346938775510204
277,0.01,0.5,poly,4,1,0.7551020408163265
278,0.01,0.5,poly,4,2,0.7959183673469388
279,0.01,0.5,poly,4,3,0.8061224489795918
280,0.01,0.5,rbf,0,0,0.6632653061224489
281,0.01,0.5,rbf,0,1,0.6632653061224489
282,0.01,0.5,rbf,0,2,0.6632653061224489
283,0.01,0.5,rbf,0,3,0.6632653061224489
284,0.01,0.5,rbf,1,0,0.6632653061224489
285,0.01,0.5,rbf,1,1,0.6632653061224489
286,0.01,0.5,rbf,1,2,0.6632653061224489
287,0.01,0.5,rbf,1,3,0.6632653061224489
288,0.01,0.5,rbf,2,0,0.6632653061224489
289,0.01,0.5,rbf,2,1,0.6632653061224489
290,0.01,0.5,rbf,2,2,0.6632653061224489
291,0.01,0.5,rbf,2,3,0.6632653061224489
292,0.01,0.5,rbf,3,0,0.6632653061224489
293,0.01,0.5,rbf,3,1,0.6632653061224489
294,0.01,0.5,rbf,3,2,0.6632653061224489
295,0.01,0.5,rbf,3,3,0.6632653061224489
296,0.01,0.5,rbf,4,0,0.6632653061224489
297,0.01,0.5,rbf,4,1,0.6632653061224489
298,0.01,0.5,rbf,4,2,0.6632653061224489
299,0.01,0.5,rbf,4,3,0.6632653061224489
300,0.01,0.5,sigmoid,0,0,0.6632653061224489
301,0.01,0.5,sigmoid,0,1,0.6632653061224489
302,0.01,0.5,sigmoid,0,2,0.6632653061224489
303,0.01,0.5,sigmoid,0,3,0.6632653061224489
304,0.01,0.5,sigmoid,1,0,0.6632653061224489
305,0.01,0.5,sigmoid,1,1,0.6632653061224489
306,0.01,0.5,sigmoid,1,2,0.6632653061224489
307,0.01,0.5,sigmoid,1,3,0.6632653061224489
308,0.01,0.5,sigmoid,2,0,0.6632653061224489
309,0.01,0.5,sigmoid,2,1,0.6632653061224489
310,0.01,0.5,sigmoid,2,2,0.6632653061224489
311,0.01,0.5,sigmoid,2,3,0.6632653061224489
312,0.01,0.5,sigmoid,3,0,0.6632653061224489
313,0.01,0.5,sigmoid,3,1,0.6632653061224489
314,0.01,0.5,sigmoid,3,2,0.6632653061224489
315,0.01,0.5,sigmoid,3,3,0.6632653061224489
316,0.01,0.5,sigmoid,4,0,0.6632653061224489
317,0.01,0.5,sigmoid,4,1,0.6632653061224489
318,0.01,0.5,sigmoid,4,2,0.6632653061224489
319,0.01,0.5,sigmoid,4,3,0.6632653061224489
320,0.01,1.0,linear,0,0,0.7142857142857143
321,0.01,1.0,linear,0,1,0.7142857142857143
322,0.01,1.0,linear,0,2,0.7142857142857143
323,0.01,1.0,linear,0,3,0.7142857142857143
324,0.01,1.0,linear,1,0,0.7142857142857143
325,0.01,1.0,linear,1,1,0.7142857142857143
326,0.01,1.0,linear,1,2,0.7142857142857143
327,0.01,1.0,linear,1,3,0.7142857142857143
328,0.01,1.0,linear,2,0,0.7142857142857143
329,0.01,1.0,linear,2,1,0.7142857142857143
330,0.01,1.0,linear,2,2,0.7142857142857143
331,0.01,1.0,linear,2,3,0.7142857142857143
332,0.01,1.0,linear,3,0,0.7142857142857143
333,0.01,1.0,linear,3,1,0.7142857142857143
334,0.01,1.0,linear,3,2,0.7142857142857143
335,0.01,1.0,linear,3,3,0.7142857142857143
336,0.01,1.0,linear,4,0,0.7142857142857143
337,0.01,1.0,linear,4,1,0.7142857142857143
338,0.01,1.0,linear,4,2,0.7142857142857143
339,0.01,1.0,linear,4,3,0.7142857142857143
340,0.01,1.0,poly,0,0,0.030612244897959183
341,0.01,1.0,poly,0,1,0.030612244897959183
342,0.01,1.0,poly,0,2,0.030612244897959183
343,0.01,1.0,poly,0,3,0.030612244897959183
344,0.01,1.0,poly,1,0,0.7244897959183674
345,0.01,1.0,poly,1,1,0.7244897959183674
346,0.01,1.0,poly,1,2,0.7244897959183674
347,0.01,1.0,poly,1,3,0.7244897959183674
348,0.01,1.0,poly,2,0,0.673469387755102
349,0.01,1.0,poly,2,1,0.7244897959183674
350,0.01,1.0,poly,2,2,0.7142857142857143
351,0.01,1.0,poly,2,3,0.7142857142857143
352,0.01,1.0,poly,3,0,0.7040816326530612
353,0.01,1.0,poly,3,1,0.7244897959183674
354,0.01,1.0,poly,3,2,0.7551020408163265
355,0.01,1.0,poly,3,3,0.7142857142857143
356,0.01,1.0,poly,4,0,0.7142857142857143
357,0.01,1.0,poly,4,1,0.7346938775510204
358,0.01,1.0,poly,4,2,0.7448979591836735
359,0.01,1.0,poly,4,3,0.7551020408163265
360,0.01,1.0,rbf,0,0,0.6938775510204082
361,0.01,1.0,rbf,0,1,0.6938775510204082
362,0.01,1.0,rbf,0,2,0.6938775510204082
363,0.01,1.0,rbf,0,3,0.6938775510204082
364,0.01,1.0,rbf,1,0,0.6938775510204082
365,0.01,1.0,rbf,1,1,0.6938775510204082
366,0.01,1.0,rbf,1,2,0.6938775510204082
367,0.01,1.0,rbf,1,3,0.6938775510204082
368,0.01,1.0,rbf,2,0,0.6938775510204082
369,0.01,1.0,rbf,2,1,0.6938775510204082
370,0.01,1.0,rbf,2,2,0.6938775510204082
371,0.01,1.0,rbf,2,3,0.6938775510204082
372,0.01,1.0,rbf,3,0,0.6938775510204082
373,0.01,1.0,rbf,3,1,0.6938775510204082
374,0.01,1.0,rbf,3,2,0.6938775510204082
375,0.01,1.0,rbf,3,3,0.6938775510204082
376,0.01,1.0,rbf,4,0,0.6938775510204082
377,0.01,1.0,rbf,4,1,0.6938775510204082
378,0.01,1.0,rbf,4,2,0.6938775510204082
379,0.01,1.0,rbf,4,3,0.6938775510204082
380,0.01,1.0,sigmoid,0,0,0.030612244897959183
381,0.01,1.0,sigmoid,0,1,0.030612244897959183
382,0.01,1.0,sigmoid,0,2,0.030612244897959183
383,0.01,1.0,sigmoid,0,3,0.030612244897959183
384,0.01,1.0,sigmoid,1,0,0.030612244897959183
385,0.01,1.0,sigmoid,1,1,0.030612244897959183
386,0.01,1.0,sigmoid,1,2,0.030612244897959183
387,0.01,1.0,sigmoid,1,3,0.030612244897959183
388,0.01,1.0,sigmoid,2,0,0.030612244897959183
389,0.01,1.0,sigmoid,2,1,0.030612244897959183
390,0.01,1.0,sigmoid,2,2,0.030612244897959183
391,0.01,1.0,sigmoid,2,3,0.030612244897959183
392,0.01,1.0,sigmoid,3,0,0.030612244897959183
393,0.01,1.0,sigmoid,3,1,0.030612244897959183
394,0.01,1.0,sigmoid,3,2,0.030612244897959183
395,0.01,1.0,sigmoid,3,3,0.030612244897959183
396,0.01,1.0,sigmoid,4,0,0.030612244897959183
397,0.01,1.0,sigmoid,4,1,0.030612244897959183
398,0.01,1.0,sigmoid,4,2,0.030612244897959183
399,0.01,1.0,sigmoid,4,3,0.030612244897959183
400,0.05,0.01,linear,0,0,0.7346938775510204
401,0.05,0.01,linear,0,1,0.7346938775510204
402,0.05,0.01,linear,0,2,0.7346938775510204
403,0.05,0.01,linear,0,3,0.7346938775510204
404,0.05,0.01,linear,1,0,0.7346938775510204
405,0.05,0.01,linear,1,1,0.7346938775510204
406,0.05,0.01,linear,1,2,0.7346938775510204
407,0.05,0.01,linear,1,3,0.7346938775510204
408,0.05,0.01,linear,2,0,0.7346938775510204
409,0.05,0.01,linear,2,1,0.7346938775510204
410,0.05,0.01,linear,2,2,0.7346938775510204
411,0.05,0.01,linear,2,3,0.7346938775510204
412,0.05,0.01,linear,3,0,0.7346938775510204
413,0.05,0.01,linear,3,1,0.7346938775510204
414,0.05,0.01,linear,3,2,0.7346938775510204
415,0.05,0.01,linear,3,3,0.7346938775510204
416,0.05,0.01,linear,4,0,0.7346938775510204
417,0.05,0.01,linear,4,1,0.7346938775510204
418,0.05,0.01,linear,4,2,0.7346938775510204
419,0.05,0.01,linear,4,3,0.7346938775510204
420,0.05,0.01,poly,0,0,0.6632653061224489
421,0.05,0.01,poly,0,1,0.6632653061224489
422,0.05,0.01,poly,0,2,0.6632653061224489
423,0.05,0.01,poly,0,3,0.6632653061224489
424,0.05,0.01,poly,1,0,0.7244897959183674
425,0.05,0.01,poly,1,1,0.7244897959183674
426,0.05,0.01,poly,1,2,0.7244897959183674
427,0.05,0.01,poly,1,3,0.7244897959183674
428,0.05,0.01,poly,2,0,0.7244897959183674
429,0.05,0.01,poly,2,1,0.7244897959183674
430,0.05,0.01,poly,2,2,0.7448979591836735
431,0.05,0.01,poly,2,3,0.7448979591836735
432,0.05,0.01,poly,3,0,0.7244897959183674
433,0.05,0.01,poly,3,1,0.7653061224489796
434,0.05,0.01,poly,3,2,0.7755102040816326
435,0.05,0.01,poly,3,3,0.7755102040816326
436,0.05,0.01,poly,4,0,0.7040816326530612
437,0.05,0.01,poly,4,1,0.7755102040816326
438,0.05,0.01,poly,4,2,0.7959183673469388
439,0.05,0.01,poly,4,3,0.8163265306122449
440,0.05,0.01,rbf,0,0,0.6632653061224489
441,0.05,0.01,rbf,0,1,0.6632653061224489
442,0.05,0.01,rbf,0,2,0.6632653061224489
443,0.05,0.01,rbf,0,3,0.6632653061224489
444,0.05,0.01,rbf,1,0,0.6632653061224489
445,0.05,0.01,rbf,1,1,0.6632653061224489
446,0.05,0.01,rbf,1,2,0.6632653061224489
447,0.05,0.01,rbf,1,3,0.6632653061224489
448,0.05,0.01,rbf,2,0,0.6632653061224489
449,0.05,0.01,rbf,2,1,0.6632653061224489
450,0.05,0.01,rbf,2,2,0.6632653061224489
451,0.05,0.01,rbf,2,3,0.6632653061224489
452,0.05,0.01,rbf,3,0,0.6632653061224489
453,0.05,0.01,rbf,3,1,0.6632653061224489
454,0.05,0.01,rbf,3,2,0.6632653061224489
455,0.05,0.01,rbf,3,3,0.6632653061224489
456,0.05,0.01,rbf,4,0,0.6632653061224489
457,0.05,0.01,rbf,4,1,0.6632653061224489
458,0.05,0.01,rbf,4,2,0.6632653061224489
459,0.05,0.01,rbf,4,3,0.6632653061224489
460,0.05,0.01,sigmoid,0,0,0.6632653061224489
461,0.05,0.01,sigmoid,0,1,0.6632653061224489
462,0.05,0.01,sigmoid,0,2,0.6632653061224489
463,0.05,0.01,sigmoid,0,3,0.6632653061224489
464,0.05,0.01,sigmoid,1,0,0.6632653061224489
465,0.05,0.01,sigmoid,1,1,0.6632653061224489
466,0.05,0.01,sigmoid,1,2,0.6632653061224489
467,0.05,0.01,sigmoid,1,3,0.6632653061224489
468,0.05,0.01,sigmoid,2,0,0.6632653061224489
469,0.05,0.01,sigmoid,2,1,0.6632653061224489
470,0.05,0.01,sigmoid,2,2,0.6632653061224489
471,0.05,0.01,sigmoid,2,3,0.6632653061224489
472,0.05,0.01,sigmoid,3,0,0.6632653061224489
473,0.05,0.01,sigmoid,3,1,0.6632653061224489
474,0.05,0.01,sigmoid,3,2,0.6632653061224489
475,0.05,0.01,sigmoid,3,3,0.6632653061224489
476,0.05,0.01,sigmoid,4,0,0.6632653061224489
477,0.05,0.01,sigmoid,4,1,0.6632653061224489
478,0.05,0.01,sigmoid,4,2,0.6632653061224489
479,0.05,0.01,sigmoid,4,3,0.6632653061224489
480,0.05,0.05,linear,0,0,0.7346938775510204
481,0.05,0.05,linear,0,1,0.7346938775510204
482,0.05,0.05,linear,0,2,0.7346938775510204
483,0.05,0.05,linear,0,3,0.7346938775510204
484,0.05,0.05,linear,1,0,0.7346938775510204
485,0.05,0.05,linear,1,1,0.7346938775510204
486,0.05,0.05,linear,1,2,0.7346938775510204
487,0.05,0.05,linear,1,3,0.7346938775510204
488,0.05,0.05,linear,2,0,0.7346938775510204
489,0.05,0.05,linear,2,1,0.7346938775510204
490,0.05,0.05,linear,2,2,0.7346938775510204
491,0.05,0.05,linear,2,3,0.7346938775510204
492,0.05,0.05,linear,3,0,0.7346938775510204
493,0.05,0.05,linear,3,1,0.7346938775510204
494,0.05,0.05,linear,3,2,0.7346938775510204
495,0.05,0.05,linear,3,3,0.7346938775510204
496,0.05,0.05,linear,4,0,0.7346938775510204
497,0.05,0.05,linear,4,1,0.7346938775510204
498,0.05,0.05,linear,4,2,0.7346938775510204
499,0.05,0.05,linear,4,3,0.7346938775510204
500,0.05,0.05,poly,0,0,0.6632653061224489
501,0.05,0.05,poly,0,1,0.6632653061224489
502,0.05,0.05,poly,0,2,0.6632653061224489
503,0.05,0.05,poly,0,3,0.6632653061224489
504,0.05,0.05,poly,1,0,0.7244897959183674
505,0.05,0.05,poly,1,1,0.7244897959183674
506,0.05,0.05,poly,1,2,0.7244897959183674
507,0.05,0.05,poly,1,3,0.7244897959183674
508,0.05,0.05,poly,2,0,0.7244897959183674
509,0.05,0.05,poly,2,1,0.7244897959183674
510,0.05,0.05,poly,2,2,0.7448979591836735
511,0.05,0.05,poly,2,3,0.7448979591836735
512,0.05,0.05,poly,3,0,0.7244897959183674
513,0.05,0.05,poly,3,1,0.7653061224489796
514,0.05,0.05,poly,3,2,0.7755102040816326
515,0.05,0.05,poly,3,3,0.7755102040816326
516,0.05,0.05,poly,4,0,0.7142857142857143
517,0.05,0.05,poly,4,1,0.7755102040816326
