,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
219,JohnPiper,4,4.05333333333,4,4.24558935557,4
225,JohnPiper,4,4.0,4,3.9694850465,4
228,JohnPiper,4,4.0,4,4.51903124454,4
230,JohnPiper,4,4.03333333333,4,3.96552023462,4
232,JohnPiper,4,4.36,4,3.8013988607,4
235,JohnPiper,4,4.0,4,3.85049865963,4
240,WBC,1,1.15,1,1.05754991541,1
241,WBC,1,1.19,1,1.06045402353,1
244,WBC,1,1.11333333333,1,0.951823703567,1
246,WBC,1,1.28333333333,1,1.00032657451,1
249,WBC,1,1.0,1,1.17948434714,1
253,WBC,1,1.02,1,1.08284554844,1
254,WBC,1,1.10333333333,1,1.15954667482,1
257,WBC,1,1.22666666667,1,1.35469662637,1
258,WBC,1,1.47,1,1.30901578345,1
263,WBC,1,1.03666666667,1,0.388256490847,1
269,WBC,1,1.04,1,0.326338217601,1
274,WBC,1,1.38,1,0.6672562889,1
278,WBC,1,1.20666666667,1,1.00277162149,1
279,PastorAnderson,2,1.95333333333,2,1.98703981218,2
285,PastorAnderson,2,2.02333333333,2,2.20142068537,2
288,PastorAnderson,2,2.15,2,2.07999990553,2
289,PastorAnderson,2,2.10333333333,2,2.23959565226,2
293,PastorAnderson,2,2.00666666667,2,1.75051111279,2
297,PastorAnderson,2,2.19333333333,2,2.21042402994,2
300,PastorAnderson,2,2.32,2,2.52583626209,2
304,NaumanKhan,3,2.56666666667,2,3.25536139111,3
309,NaumanKhan,3,2.73333333333,3,3.03576566132,3
310,NaumanKhan,3,2.84666666667,3,3.64866056945,3
313,Rabbinic,6,6.06,6,6.28728694582,6
317,Rabbinic,6,6.00333333333,6,6.18233937491,6
320,Rabbinic,6,5.73,6,6.35717051306,6
321,Rabbinic,6,5.92666666667,6,5.40845288701,6
322,Rabbinic,6,6.03333333333,6,6.15426470814,6
325,Rabbinic,6,5.97,6,5.98394667244,6
328,MehrBaba,8,6.16666666667,8,8.28220115052,8
331,MehrBaba,8,7.28333333333,8,6.12697626046,8
334,MehrBaba,8,7.64666666667,8,7.16418417491,8
336,MehrBaba,8,5.71333333333,8,6.57523891946,8
340,MehrBaba,8,7.96,8,8.48807724656,8
343,MehrBaba,8,6.13666666667,8,7.95806135292,8
345,MehrBaba,8,5.96333333333,8,7.57828650449,8
347,MehrBaba,8,7.99333333333,8,8.23241233843,8
351,MehrBaba,8,7.93333333333,8,7.27002899003,8
355,Ghandi,1,4.55666666667,1,3.4476498237,1
