,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,toBeCount,pronounFrac,pronounCount,avgSD,avgEVC,groupName,rank,rfPred,svmPred
32,Shepherd_test4,10,14.0610771179,"s, don, get, sin, want, ill, prais, god, t, christ",0.0328703484691,0.0213582685524,0.9,0.1,14.2,0.0567693699944,167.4,0.638898905423,0.642812717604,0.576910686707,Shepherd,4,4.00982214229,3.72497515459
33,Shepherd_test8,10,13.9450390339,"s, christ, get, sin, don, pray, know, god, want, lord",0.0317384951068,0.019438440491,0.9,0.1,17.4,0.0783522114476,171.5,0.62417444932,0.621998550316,0.646540973978,Shepherd,4,4.00982214229,4.30209613044
35,Shepherd_test3,10,14.166203022,"s, get, don, want, christ, god, t, ask, ill, preach",0.0305543341092,0.0192587427413,1.0,0.0,14.8,0.0536357456164,177.7,0.611578743345,0.611282565513,0.597184998503,Shepherd,4,4.00982214229,4.08391058011
38,Shepherd_test13,10,15.1770160198,"s, don, christ, get, god, t, ask, said, ill, pray",0.031060140825,0.0224623012724,0.8,0.2,18.7,0.0685462684822,182.0,0.591612056384,0.583328575426,0.597927889548,Shepherd,4,4.00982214229,4.09716358058
45,Shepherd_test1,10,13.9276239872,"s, god, widow, want, get, christ, know, better, heaven, ill",0.0336702819142,0.0222758778067,0.9,0.1,19.9,0.092911549756,152.9,0.645778765218,0.602757343775,0.59365548002,Shepherd,4,4.30982214229,4.46805907103
49,Shepherd_test11,10,13.1610558033,"s, get, god, want, don, ask, know, christ, preacher, thing",0.0306074216793,0.0220233067839,0.7,0.3,16.3,0.0793317620539,152.0,0.662370974307,0.606559908015,0.712752298002,Shepherd,4,4.00982214229,4.08081717048
50,Shepherd_test2,10,14.0374770164,"s, sin, don, get, pray, t, love, thing, prayer, ask",0.0334625632168,0.0280436468116,0.5,0.5,16.5,0.0590101537686,171.4,0.605532240097,0.612063890819,0.74054466551,Shepherd,4,3.40694444444,3.8828697095
56,Shepherd_test18,10,12.6280810833,"want, s, don, get, christ, evil, love, t, know, said",0.0345515857221,0.0230897453506,0.8,0.2,16.8,0.0704228563999,150.1,0.615223146457,0.577972021513,0.502448077002,Shepherd,4,4.00982214229,3.87360750168
59,Shepherd_test7,10,13.6924312115,"s, get, don, christ, know, want, sin, thing, t, ask",0.031646175028,0.0230094505231,0.7,0.3,15.6,0.06683747216,167.3,0.642743042086,0.6162303436,0.750441850847,Shepherd,4,4.00982214229,4.0769599197
64,Shepherd_test17,10,13.4827339649,"s, thank, sin, god, get, don, evil, christ, know, want",0.03285181663,0.0270855822231,0.6,0.4,18.0,0.0818354501766,148.3,0.594358425686,0.655568342573,0.638171325106,Shepherd,4,3.70694444444,3.94377765584
71,Shepherd_test12,10,13.3329350948,"s, get, don, love, christ, ask, want, t, ill, said",0.0368946517714,0.0227814144853,0.9,0.1,14.1,0.052949784929,164.7,0.566182643907,0.580962027099,0.554107034793,Shepherd,4,4.00982214229,3.85139889693
72,Shepherd_test5,10,13.599255085,"s, christ, get, don, god, t, said, want, ill, thing",0.0311679340384,0.02151459712,0.8,0.2,17.7,0.0754237220078,152.2,0.610057339379,0.642648644842,0.62361461837,Shepherd,4,4.00982214229,4.26986035084
73,DorothyDay_test8,10,9.61886000633,"worker, poverti, get, farm, talk, cooper, done, say, love, tri",0.0245141688712,0.021933005394,0.5,0.5,17.3,0.207112650116,62.3,0.686964166198,0.702357952542,0.665562838157,DorothyDay,4,4.20982214229,3.42192255825
75,DorothyDay_test13,10,8.59327697754,"worker, get, too, talk, farm, told, i, go, room, hospit",0.0267282643498,0.0189251996027,0.8,0.2,14.2,0.155290580471,57.1,0.70538114296,0.765949304801,0.835137510105,DorothyDay,4,4.00982214229,4.10155031634
76,DorothyDay_test3,10,9.72675895691,"too, get, worker, fr, room, told, am, love, tree, pray",0.0273153718283,0.0214288682193,0.7,0.3,15.6,0.161335695591,67.3,0.728350685624,0.743494118935,0.710286191123,DorothyDay,4,4.00982214229,4.20724788495
88,DorothyDay_test23,10,12.1948549747,"worker, labor, priest, get, too, farm, talk, maurin, peter, fr",0.0292988237067,0.0201557988674,0.8,0.2,22.7,0.211283099251,84.3,0.738405984523,0.819820511003,0.846736401447,DorothyDay,4,6.9,5.46460848338
89,DorothyDay_test16,10,14.2008118629,"get, too, worker, fr, talk, love, go, penanc, tri, want",0.0271275611599,0.0194406914016,1.0,0.0,23.4,0.185529700018,96.3,0.683387816527,0.743965930243,0.605281411901,DorothyDay,4,3.65,5.54890717691
90,DorothyDay_test6,10,8.66201519966,"get, worker, dolci, too, street, am, maurin, talk, job, room",0.0282174585786,0.0209784299866,0.9,0.1,13.4,0.166305669545,60.4,0.673168181812,0.698233099789,0.730703416298,DorothyDay,4,4.00982214229,4.14066231828
91,DorothyDay_test11,10,6.09203195572,"bread, worker, christ, talk, get, love, tri, strike, go, say",0.0257086834641,0.0195771482328,0.7,0.3,8.1,0.123725159268,43.0,0.682431339909,0.674732202596,0.766103414697,DorothyDay,4,4.00982214229,3.72762883274
92,DorothyDay_test1,10,11.0495991707,"worker, get, too, strike, i, room, farm, ask, hour, pay",0.024625696862,0.0202856605717,0.6,0.4,17.9,0.166514278997,79.9,0.74334687651,0.758531648486,0.615689172345,DorothyDay,4,4.00982214229,4.38410712453
93,DorothyDay_test18,10,12.1322720051,"get, worker, room, i, peter, got, too, go, priest, negro",0.0249165353416,0.0210745565236,0.6,0.4,19.4,0.174996688666,93.4,0.750853192725,0.737330104286,0.689938090455,DorothyDay,4,4.40694444444,4.36161014859
103,DorothyDay_test21,10,8.11090397835,"get, worker, love, too, christ, room, stjoseph, hospit, morn, night",0.0234227632072,0.020042913503,0.7,0.3,12.3,0.147813377138,59.5,0.699638484223,0.706303243045,0.658876037102,DorothyDay,4,4.00982214229,3.68583190358
104,DorothyDay_test14,10,9.95528888702,"prison, get, worker, too, girl, room, joy, farm, go, prayer",0.0246748194027,0.0198627970813,0.8,0.2,17.0,0.160902485677,71.9,0.698702074084,0.739411766166,0.540246932947,DorothyDay,4,4.00982214229,4.15779119985
105,DorothyDay_test4,10,10.1109819412,"get, worker, room, tri, love, priest, hospit, farm, talk, too",0.0297687171449,0.0177747399088,1.0,0.0,20.0,0.215081092871,69.4,0.714272421948,0.72901678528,0.638882143798,DorothyDay,4,7.20982214229,6.58833083149
115,DorothyDay_test12,10,12.2422339916,"fr, get, too, worker, talk, fear, room, prayer, go, love",0.0245408894836,0.0190645836179,0.6,0.4,21.6,0.217786838294,76.9,0.688204014343,0.77080890565,0.716489894517,DorothyDay,4,5.00982214229,4.25849156731
116,DorothyDay_test2,10,12.2544741631,"am, love, tri, get, too, retreat, talk, know, bread, say",0.0232553549502,0.0205092104179,0.8,0.2,19.8,0.153642232642,90.9,0.683997313267,0.742896992359,0.626206467236,DorothyDay,4,4.00982214229,4.01019972122
125,DorothyDay_test9,10,10.479585886,"worker, get, talk, tri, destitut, want, poverti, peter, say, polic",0.0314255764658,0.0210983319547,0.7,0.3,18.7,0.199874815189,71.5,0.689296990032,0.78340405654,0.786740887048,DorothyDay,4,5.20982214229,5.13271276228
126,DorothyDay_test10,10,12.0864629745,"love, fr, priest, tri, worker, get, say, sin, too, negro",0.02626995861,0.0228860080407,0.7,0.3,19.4,0.16838826444,91.2,0.708045747523,0.748376016614,0.748597767257,DorothyDay,4,4.00982214229,3.940387992
127,DorothyDay_test0,10,10.1153371334,"get, worker, too, babi, job, tri, say, go, bless, farm",0.025677133697,0.0208450649828,0.7,0.3,16.6,0.16600520395,74.1,0.733145381558,0.748705121424,0.710024869109,DorothyDay,4,4.00982214229,4.28160221071
131,DorothyDay_test22,10,8.0449411869,"worker, get, dont, tri, ask, talk, joe, labor, mine, cathol",0.0222495454947,0.0206665027233,0.8,0.2,11.1,0.125563824265,63.4,0.657404506226,0.682855514747,0.637453938549,DorothyDay,4,4.00982214229,3.72054373241
132,DorothyDay_test17,10,12.379445076,"worker, labor, too, strike, get, rayna, farm, go, love, rememb",0.0271663087541,0.0199785138388,0.7,0.3,18.6,0.156064184771,85.4,0.70996153489,0.750767647223,0.667325172727,DorothyDay,4,4.00982214229,4.12980040751
133,DorothyDay_test7,10,10.023788929,"love, get, worker, am, too, talk, prison, christ, know, tanzania",0.0254502802492,0.0281421718556,0.7,0.3,16.6,0.166972950973,67.6,0.704615605078,0.752941865871,0.67226464932,DorothyDay,4,3.70694444444,4.04487865346
136,DorothyDay_test19,10,10.1756520271,"labor, worker, room, get, too, farm, night, go, manual, fr",0.02340880554,0.0182451664434,0.8,0.2,17.7,0.217236889983,61.9,0.7040563536,0.764674217931,0.693572775736,DorothyDay,4,5.00982214229,5.03950489136
142,DorothyDay_test20,10,8.27364397049,"worker, get, room, am, go, farm, love, night, joy, stjoseph",0.0315293536296,0.0241409655185,0.8,0.2,15.7,0.203653181312,53.7,0.699618029834,0.745542394709,0.526555688612,DorothyDay,4,6.00982214229,5.37270150391
143,DorothyDay_test15,10,11.757627964,"love, prayer, get, bed, worker, retreat, street, room, go, poverti",0.0235776492347,0.0214918819034,0.6,0.4,19.9,0.172466897145,84.0,0.726583079928,0.755375939925,0.822563674395,DorothyDay,4,4.00982214229,4.23316729634
144,DorothyDay_test5,10,10.9813940525,"get, worker, too, tri, love, room, priest, go, cloth, parish",0.0256898105547,0.0176911570097,1.0,0.0,19.5,0.198012444941,71.4,0.714235849182,0.701104803773,0.587342815946,DorothyDay,4,4.00982214229,5.18994832506
153,Unitarian_test6,10,18.3099298477,"am, obstacl, wonder, nt, know, i, s, feel, silenc, heal",0.0305913924986,0.0199067781592,1.0,0.0,26.7,0.114947144077,147.1,0.630765330293,0.696728832581,0.667908750794,Unitarian,7,6.4,5.47109960473
156,Unitarian_test3,10,17.6227641106,"disappoint, am, say, feel, i, door, nt, dont, know, think",0.0243906661058,0.0295608698194,0.7,0.3,21.5,0.0877512182506,156.1,0.682360589825,0.658344757587,0.631948073579,Unitarian,7,4.00694444444,5.39957755698
158,Unitarian_test4,10,14.5905218124,"am, i, anger, f, want, get, say, ask, yes, know",0.0241993301545,0.0167030597604,0.8,0.2,16.8,0.0881067811595,116.6,0.625908439856,0.633860549332,0.657632477518,Unitarian,7,3.60982214229,4.11337127068
161,Unitarian_test5,10,20.2613530159,"let, s, am, nt, i, know, get, love, feel, say",0.0304710426989,0.018757422452,0.9,0.1,26.7,0.140239189853,151.7,0.667255442554,0.695716108642,0.786832771302,Unitarian,7,5.0,4.37791855456
165,Unitarian_test7,10,19.8252239227,"say, flower, prison, love, want, i, s, am, fig, nt",0.0296758523287,0.0223140524579,0.8,0.2,29.4,0.131850156169,159.0,0.6938966697,0.658034146525,0.665893797334,Unitarian,7,6.2,4.96601993237
167,Unitarian_test0,10,17.9279937744,"nt, want, get, i, say, s, am, let, love, tell",0.0278059071891,0.0223473871386,0.7,0.3,24.0,0.131913172315,141.9,0.667529048443,0.686021903078,0.536066833247,Unitarian,7,4.25,4.55844814765
171,Unitarian_test2,10,14.2669479847,"congreg, am, let, say, nt, s, know, get, universalist, unitarian",0.0279482828302,0.0211364691478,0.7,0.3,19.8,0.113672331115,112.2,0.652294925433,0.679405937067,0.733824599796,Unitarian,7,4.00982214229,4.16118626952
177,Unitarian_test8,10,17.0807859898,"fear, tell, let, magic, love, know, get, i, s, e",0.0316402286927,0.0223056722426,0.9,0.1,26.1,0.146637295583,133.0,0.71979747664,0.660241661279,0.740591729195,Unitarian,7,4.8,4.58063346072
178,Unitarian_test1,10,17.4344608784,"compass, want, s, nt, say, am, let, i, justic, talk",0.0259781737821,0.0199285972839,1.0,0.0,25.1,0.128153565455,140.0,0.700079142436,0.674465132598,0.677006688534,Unitarian,7,5.9,4.85927124958
180,NaumanKhan_test0,10,22.6386880875,"allah, nt, know, get, quran, say, s, talk, someth, don't",0.0219761082839,0.0153303228245,0.8,0.2,34.3,0.117766580711,238.7,0.718852055441,0.658023320957,0.681718630537,NaumanKhan,3,2.5,3.51046272882
182,NaumanKhan_test1,10,18.7543890476,"allah, say, nt, know, quran, someth, get, s, go, don't",0.017721363616,0.0140446326552,0.6,0.4,27.5,0.149932404392,188.5,0.773623147834,0.627335680697,0.592225785103,NaumanKhan,3,5.1,3.21492930647
186,NaumanKhan_test2,10,27.2085859776,"allah, get, say, nt, know, quran, don't, talk, quot, s",0.0193722138998,0.0144263720507,1.0,0.0,34.1,0.123907218364,275.3,0.75387608966,0.605678331145,0.342985277037,NaumanKhan,3,3.8,3.51669550096
190,JohnPiper_test8,10,13.3010821342,"vers, god, say, s, prayer, nt, pray, am, perish, let",0.0279342595236,0.0228002186931,0.6,0.4,19.8,0.116446174318,113.0,0.644464916917,0.730133381085,0.600777773299,JohnPiper,4,4.00982214229,3.90748195767
192,JohnPiper_test15,10,12.6378619671,"god, righteous, vers, s, let, say, job, nt, whi, promis",0.0285798236405,0.0263137361289,0.6,0.4,20.0,0.126370547295,111.9,0.701993520276,0.719464918554,0.633793069156,JohnPiper,4,4.00982214229,4.31723260996
194,JohnPiper_test4,10,11.0365059376,"vers, god, s, say, hope, christ, love, nt, templ, glori",0.0270837765856,0.0210886508313,0.7,0.3,15.5,0.117636264034,99.5,0.700267436994,0.697100091948,0.710702958211,JohnPiper,4,4.00982214229,3.85498991295
197,JohnPiper_test13,10,11.100372076,"christ, coven, god, vers, glori, s, jesus, say, let, nt",0.0241618862438,0.0164544433093,0.8,0.2,20.0,0.138328293357,95.1,0.655678591351,0.719241238335,0.661927775552,JohnPiper,4,4.00982214229,3.80003155811
202,JohnPiper_test2,10,12.4841079712,"god, vers, s, nt, grace, spirit, jesus, worship, christ, say",0.0301298648521,0.0187255013298,0.8,0.2,19.7,0.125944475333,111.9,0.683453824749,0.717180870828,0.668633740106,JohnPiper,4,4.00982214229,4.03510085436
208,JohnPiper_test11,10,10.5989069939,"sin, vers, christ, s, god, say, jesus, glori, gospel, nt",0.0300914228597,0.0314802465513,0.5,0.5,15.0,0.108140400237,97.1,0.681790896528,0.664734519037,0.85538258831,JohnPiper,4,3.70694444444,3.83920174663
210,JohnPiper_test7,10,12.0722100735,"vers, god, hope, say, love, s, christ, nt, gospel, glori",0.0364651250042,0.0223635364886,1.0,0.0,15.2,0.0975709609191,111.6,0.695795057118,0.782775240273,0.675053760231,JohnPiper,4,4.00982214229,3.42784887226
213,JohnPiper_test0,10,12.7636680603,"god, christ, s, love, vers, say, spirit, glori, grace, prayer",0.0368611511096,0.0143945223055,1.0,0.0,19.6,0.127682942672,111.8,0.732376734395,0.675699206495,0.729003694941,JohnPiper,4,4.00982214229,4.02959156706
214,JohnPiper_test9,10,13.5688710213,"god, christ, vers, s, say, jesus, love, spirit, worship, husband",0.033327425802,0.0168490360759,1.0,0.0,20.1,0.112257774132,122.7,0.689483516068,0.686687499778,0.620340610672,JohnPiper,4,4.00982214229,4.48176790107
215,JohnPiper_test16,10,11.9999279976,"vers, god, gospel, s, say, salvat, jesus, bless, christ, save",0.0322594336076,0.0189684816879,0.8,0.2,19.9,0.137254993928,100.9,0.704160747265,0.685564021686,0.642203821053,JohnPiper,4,4.00982214229,4.19413719399
217,JohnPiper_test5,10,11.4139449596,"christ, spirit, vers, sin, god, say, jesus, s, want, nt",0.025356017481,0.0237857570236,0.8,0.2,17.4,0.105518896482,106.4,0.651485128303,0.729764522369,0.784109297203,JohnPiper,4,4.00982214229,4.12166251629
223,JohnPiper_test14,10,13.706193924,"vers, sin, merci, god, s, nt, say, walk, christ, jesus",0.0297529833596,0.026056523381,0.7,0.3,23.6,0.131909357413,114.7,0.648118149942,0.691611338013,0.638245051301,JohnPiper,4,4.65,4.22118621459
229,JohnPiper_test3,10,12.1109650135,"vers, love, god, nt, s, christ, sabbath, say, homosexu, know",0.0319074541421,0.0223687403974,0.8,0.2,21.3,0.143450988026,102.1,0.690323751363,0.716745307118,0.678881177213,JohnPiper,4,4.00982214229,4.30621399829
233,JohnPiper_test12,10,13.4743800163,"vers, god, sin, christ, s, glori, nt, say, will, jesus",0.0277638656956,0.0255722678882,0.6,0.4,20.8,0.122511470649,124.6,0.7194499438,0.672089995598,0.673506514252,JohnPiper,4,4.00982214229,4.51884465121
237,JohnPiper_test1,10,11.6053631306,"vers, god, abid, s, spirit, love, say, faith, know, righteous",0.0368722901279,0.0200678904278,0.9,0.1,21.1,0.169904840544,95.0,0.660493622191,0.718151478319,0.784419872823,JohnPiper,4,4.00982214229,5.16378925417
241,JohnPiper_test17,10,11.2335209846,"vers, christ, bless, righteous, god, say, s, sin, save, jesus",0.0395405920198,0.0202152822106,0.9,0.1,16.6,0.108515068329,101.3,0.663569843539,0.677800282705,0.726584830008,JohnPiper,4,6.40287769784,3.85645080408
243,JohnPiper_test10,10,11.8822939396,"vers, sin, love, god, say, s, let, nt, grace, barnaba",0.0379783943683,0.0222583697037,0.7,0.3,19.7,0.138088235065,104.4,0.700553703344,0.714070501361,0.547836668239,JohnPiper,4,4.80982214229,4.22860833422
245,JohnPiper_test6,10,12.9883577824,"vers, god, christ, s, let, say, job, sin, nt, glori",0.03233527686,0.0253941884035,0.5,0.5,20.7,0.132902323792,118.6,0.731714612163,0.748400507601,0.722060076264,JohnPiper,4,4.00982214229,3.91476215503
246,PastorAnderson_test5,10,45.916918993,"s, nt, say, re, get, go, bibl, know, want, vers",0.027949179376,0.0168812366296,0.9,0.1,63.8,0.0850612534871,533.3,0.68143567046,0.728487884118,0.743412355383,PastorAnderson,2,2.5,1.990243452
252,PastorAnderson_test1,10,53.2855479717,"s, re, say, nt, get, go, bibl, know, save, vers",0.0269606474546,0.019996955549,0.8,0.2,64.8,0.0807949359945,563.0,0.675095989015,0.72740234777,0.769905081747,PastorAnderson,2,2.0,1.94455519172
255,PastorAnderson_test4,10,47.9453599453,"s, re, nt, say, go, get, bibl, vers, let, talk",0.0228351872122,0.0183461135799,0.7,0.3,54.4,0.0547853248479,629.3,0.600360468836,0.687486881438,0.836033783224,PastorAnderson,2,2.1,2.46772747106
256,PastorAnderson_test3,10,45.1538178921,"s, re, nt, say, go, get, bibl, vers, want, unto",0.022991495088,0.0184590490552,0.9,0.1,59.3,0.0792642281308,551.4,0.723102123225,0.759459084723,0.84626385506,PastorAnderson,2,2.0,2.18810988117
260,PastorAnderson_test6,10,48.9006888866,"s, re, say, nt, get, go, bibl, vers, save, want",0.0270778544291,0.0188049646797,0.9,0.1,61.7,0.0726174417317,602.9,0.629970755909,0.708908405522,0.845298824921,PastorAnderson,2,2.0,2.39276808377
264,PastorAnderson_test0,10,50.0730221272,"s, re, nt, get, say, bibl, go, know, want, let",0.0251597518296,0.0168293401985,0.8,0.2,66.6,0.0846311928493,589.2,0.680792684982,0.728028888363,0.712914352981,PastorAnderson,2,2.0,1.85812212443
267,PastorAnderson_test2,10,49.6143169403,"s, re, say, nt, get, go, bibl, vers, want, unto",0.0261075749747,0.0152110170203,0.9,0.1,57.7,0.0718509222523,602.6,0.612554011291,0.749561185016,0.772674694534,PastorAnderson,2,2.0,2.17638852834
271,WBC_test11,10,16.5643699169,"unto, shall, thou, ye, lord, thi, god, satan, s, hath",0.0241968837323,0.0296463202499,0.3,0.7,29.6,0.179243329011,101.5,0.620300292015,0.768120152433,0.831855736716,WBC,1,1.5,0.93054246383
278,WBC_test6,10,14.4286630154,"shall, unto, thou, thee, christ, lord, god, thi, heaven, hath",0.0237955240154,0.0234519258984,0.4,0.6,28.9,0.224053394323,76.9,0.605996222886,0.741583032124,0.870823770829,WBC,1,4.2,1.26649504767
279,WBC_test1,10,13.430257082,"unto, shall, thou, christ, god, ye, lord, scriptur, belov, heaven",0.0242187374971,0.025194660703,0.6,0.4,25.2,0.187963706157,81.0,0.585698778939,0.76863315339,0.646475913644,WBC,1,2.5,1.5600237203
285,WBC_test12,10,14.5715959072,"unto, shall, ye, sin, thou, god, s, lord, belov, say",0.0258303838406,0.0290513634266,0.4,0.6,23.4,0.170478423149,81.7,0.596998178358,0.75416281288,0.769027885265,WBC,1,2.2,0.881527586808
286,WBC_test4,10,19.2646298409,"unto, shall, injuri, ye, spirit, god, christ, s, longsuff, heaven",0.0260456304871,0.0274653574281,0.3,0.7,31.5,0.171895240862,107.9,0.591550277483,0.710912163373,0.721133723335,WBC,1,1.4,0.901992604084
291,WBC_test10,10,18.5697159767,"shall, unto, christ, thi, thou, thee, s, lord, ye, god",0.0264714294523,0.0250925715729,0.6,0.4,33.7,0.187202848074,119.9,0.666629795569,0.693525300555,0.720993983524,WBC,1,1.5,2.42009977487
292,WBC_test2,10,17.1741030216,"thi, shall, unto, sin, thou, s, god, christ, sermon, lord",0.0272451801924,0.0262333292144,0.6,0.4,28.9,0.161702466517,113.5,0.615507837125,0.691604423694,0.627330842019,WBC,1,2.9,3.05009433897
295,WBC_test0,10,13.7851819992,"shall, unto, ye, lord, christ, thou, god, thi, s, thee",0.0312683842782,0.0237964420254,0.6,0.4,22.7,0.166237033332,82.3,0.590074399341,0.723767997317,0.792571534672,WBC,1,3.15,1.93556853758
300,WBC_test7,10,14.0239620209,"shall, unto, job, ye, thou, thee, thi, god, s, curs",0.0270588589242,0.0296671265946,0.5,0.5,24.5,0.182534097344,83.3,0.613244802074,0.732138493975,0.716793480675,WBC,1,2.45,1.22741615972
301,WBC_test3,10,20.3493518829,"shall, unto, christ, nt, ye, thou, s, god, thing, dark",0.0259956577959,0.0266279988424,0.6,0.4,39.0,0.193595862082,132.5,0.644921712273,0.729538523876,0.785744021811,WBC,1,1.3,1.29018125624
303,WBC_test9,10,14.3318970203,"unto, shall, ye, god, christ, lord, ie, coven, wit, sin",0.0258668328751,0.0255197429976,0.5,0.5,26.3,0.19268608191,80.2,0.564165233323,0.790496877825,0.762077142856,WBC,1,1.9,0.271543835701
305,WBC_test8,10,12.9837398529,"shall, unto, thou, ye, lord, thi, wit, s, belov, christ",0.0236493475882,0.0301565958344,0.3,0.7,23.2,0.170479051628,77.9,0.574099521208,0.714146438293,0.730597036028,WBC,1,1.6,0.891364727628
309,WBC_test5,10,15.9538559914,"shall, unto, ye, god, lord, christ, sin, thou, love, s",0.0327043733913,0.027780395053,0.5,0.5,32.9,0.225262159251,90.1,0.6192829637,0.743958607326,0.569901977448,WBC,1,2.2,1.87773072661
312,Rabbinic_test5,10,10.0563118458,"jacob, know, jew, refuge, forgiv, ourselv, want, genesi, ask, let",0.0183175253072,0.0208673479293,0.4,0.6,19.5,0.224836448431,63.0,0.727032783251,0.7077121846,0.803617965396,Rabbinic,6,5.60982214229,4.88890158606
315,Rabbinic_test2,10,10.1613390446,"rabbi, know, hartman, jewish, koufax, cave, bar, jew, yochai, basebal",0.0237755843348,0.0213491709308,0.6,0.4,21.0,0.234178346956,66.9,0.771257971941,0.74989495616,0.850522216853,Rabbinic,6,5.6,4.8375957959
318,Rabbinic_test0,10,10.0683588982,"rabbi, jew, torah, jewish, ask, choic, know, isra, will, deed",0.0205945238592,0.0178468627034,0.5,0.5,21.3,0.246683975514,67.4,0.755492306476,0.690198765846,0.659120711417,Rabbinic,6,6.0,5.36538665085
321,Rabbinic_test3,10,10.6109859943,"jewish, jewri, know, israel, complaint, synagogu, rabbi, mose, wrong, rosenzweig",0.0228982642038,0.0211301641922,0.6,0.4,21.4,0.242250660168,69.5,0.754361040346,0.752540800979,0.73433997361,Rabbinic,6,5.6,5.36099999951
322,Rabbinic_test4,10,10.5106248856,"jew, jewri, isra, jewish, israel, torah, prayer, rabbi, know, goldston",0.0203938182787,0.0184609941966,0.7,0.3,18.8,0.224626698018,68.8,0.767867457973,0.707984712473,0.661969403714,Rabbinic,6,5.60694444444,5.4290797185
325,Rabbinic_test1,10,9.6354060173,"netanyahu, “no, diaspora, moment, mose, jew, rabbi, israel, jewri, tell",0.0218400063169,0.019389470772,0.6,0.4,18.4,0.208440653309,66.5,0.70964659511,0.711750298249,0.714339434866,Rabbinic,6,5.00982214229,4.47818503739
328,MehrBaba_test1,10,11.3732988834,"baba, meher, imperson, realiz, s, master, conscious, nt, mind, get",0.0310454682813,0.0143306135246,0.9,0.1,18.9,0.208844801403,91.5,0.75024367451,0.750909026171,0.747513216301,MehrBaba,8,7.60694444444,6.31904609136
331,MehrBaba_test3,10,9.21710395813,"baba, mind, spiritu, meher, sai, plane, s, love, imagin, perfect",0.0259647843193,0.0187500737443,0.9,0.1,18.8,0.226709447065,58.8,0.656710768484,0.728928079338,0.670476002491,MehrBaba,8,6.40982214229,5.22628687686
334,MehrBaba_test8,10,9.52390694618,"baba, perfect, love, hors, ask, meher, s, mind, nt, imperson",0.0363582549093,0.015501281886,0.9,0.1,18.1,0.212524547511,79.5,0.706258461919,0.697677320414,0.68918421231,MehrBaba,8,7.20982214229,7.07573736453
336,MehrBaba_test4,10,9.53732204437,"baba, master, spiritu, s, plane, love, soul, perfect, shri, meher",0.0332204583626,0.0142143099905,0.9,0.1,20.9,0.300076635321,45.9,0.644693238011,0.774061103171,0.819696841255,MehrBaba,8,8.0,7.16385003199
